`I63.09`,`ICD10CM`,`Cerebral infarction due to thrombosis of other precerebral artery`
`I63.12`,`ICD10CM`,`Cerebral infarction due to embolism of basilar artery`
`I63.233`,`ICD10CM`,`Cerebral infarction due to unspecified occlusion or stenosis of bilateral carotid arteries`
`I63.031`,`ICD10CM`,`Cerebral infarction due to thrombosis of right carotid artery`
`I63.231`,`ICD10CM`,`Cerebral infarction due to unspecified occlusion or stenosis of right carotid arteries`
`I63.239`,`ICD10CM`,`Cerebral infarction due to unspecified occlusion or stenosis of unspecified carotid artery`
`I63.23`,`ICD10CM`,`Cerebral infarction due to unspecified occlusion or stenosis of carotid arteries`
`I63.113`,`ICD10CM`,`Cerebral infarction due to embolism of bilateral vertebral arteries`
`I63.033`,`ICD10CM`,`Cerebral infarction due to thrombosis of bilateral carotid arteries`
`I65.9`,`ICD10CM`,`Occlusion and stenosis of unspecified precerebral artery`
`I63.232`,`ICD10CM`,`Cerebral infarction due to unspecified occlusion or stenosis of left carotid arteries`
`I63.119`,`ICD10CM`,`Cerebral infarction due to embolism of unspecified vertebral artery`
`I63.039`,`ICD10CM`,`Cerebral infarction due to thrombosis of unspecified carotid artery`
`I63.032`,`ICD10CM`,`Cerebral infarction due to thrombosis of left carotid artery`
`I65.29`,`ICD10CM`,`Occlusion and stenosis of unspecified carotid artery`
`I63.111`,`ICD10CM`,`Cerebral infarction due to embolism of right vertebral artery`
`I65.23`,`ICD10CM`,`Occlusion and stenosis of bilateral carotid arteries`
`Q28.0`,`ICD10CM`,`Arteriovenous malformation of precerebral vessels`
`Q28.1`,`ICD10CM`,`Other malformations of precerebral vessels`
`I63.02`,`ICD10CM`,`Cerebral infarction due to thrombosis of basilar artery`
`I63.112`,`ICD10CM`,`Cerebral infarction due to embolism of left vertebral artery`
`I63.11`,`ICD10CM`,`Cerebral infarction due to embolism of vertebral artery`
`G45.2`,`ICD10CM`,`Multiple and bilateral precerebral artery syndromes`
`I63.03`,`ICD10CM`,`Cerebral infarction due to thrombosis of carotid artery`
