127.0.0.1 - - [07/Jun/2021:10:11:37 +0100] "GET / HTTP/1.1" 200 11157
0:0:0:0:0:0:0:1 - - [07/Jun/2021:10:13:37 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 500 39
0:0:0:0:0:0:0:1 - - [07/Jun/2021:10:13:39 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 500 39
0:0:0:0:0:0:0:1 - - [07/Jun/2021:10:17:15 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:10:37:44 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:11:12:37 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:12:18:28 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:12:34:15 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:12:35:29 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:12:36:26 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:12:36:57 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:12:37:58 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:12:39:33 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:12:40:05 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:12:40:21 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:12:40:35 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:12:42:30 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:12:43:03 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:12:43:33 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:12:44:09 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:12:50:38 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:12:52:14 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:12:52:43 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:12:55:33 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:12:55:58 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:12:56:40 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:12:57:53 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:12:59:23 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:01:54 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:02:19 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:02:46 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:03:13 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:03:45 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:04:27 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:04:47 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:06:05 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:06:32 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:06:59 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:09:29 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:09:56 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:14:54 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:15:13 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:20:00 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:20:35 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:20:58 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:23:34 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:25:02 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:29:19 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:30:19 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:30:59 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:31:35 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:32:49 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146247
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:45:52 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146202
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:47:29 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146202
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:49:13 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 146202
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:53:37 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 148459
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:58:47 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 148441
0:0:0:0:0:0:0:1 - - [07/Jun/2021:13:59:38 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 148441
0:0:0:0:0:0:0:1 - - [07/Jun/2021:14:02:23 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 148441
0:0:0:0:0:0:0:1 - - [07/Jun/2021:14:02:58 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 148441
0:0:0:0:0:0:0:1 - - [07/Jun/2021:14:03:18 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 148441
0:0:0:0:0:0:0:1 - - [07/Jun/2021:16:57:29 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 148441
0:0:0:0:0:0:0:1 - - [07/Jun/2021:17:03:24 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 148441
0:0:0:0:0:0:0:1 - - [07/Jun/2021:17:04:04 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 148441
0:0:0:0:0:0:0:1 - - [07/Jun/2021:17:05:36 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 148441
0:0:0:0:0:0:0:1 - - [07/Jun/2021:17:06:00 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 148441
0:0:0:0:0:0:0:1 - - [07/Jun/2021:17:14:15 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 148441
0:0:0:0:0:0:0:1 - - [07/Jun/2021:17:14:55 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 148441
0:0:0:0:0:0:0:1 - - [07/Jun/2021:17:15:28 +0100] "GET /NICEPPRESTfulService/algorithms HTTP/1.1" 200 148441
